iter	RMSE
1215	0.3010296274
1216	0.3009258096
1217	0.3008791423
1218	0.3008013079
1219	0.300681374
1220	0.3006312097
1221	0.30056343
1222	0.3005205408
1223	0.300416677
1224	0.300341268
1225	0.3002895241
1226	0.3002078572
1227	0.3000850194
1228	0.3000548746
1229	0.3000143791
1230	0.2998616787
1231	0.2997933433
1232	0.2997231248
1233	0.299638723
1234	0.2995779308
1235	0.2995271706
1236	0.2994458863
1237	0.2993424429
1238	0.299273581
1239	0.2992425151
1240	0.2991680519
1241	0.2990846454
1242	0.2990002271
1243	0.298933045
1244	0.2988457181
1245	0.29879632
1246	0.2987433533
1247	0.2986560206
1248	0.2985899711
1249	0.2985331826
1250	0.2984717503
1251	0.2983572023
1252	0.2982810503
1253	0.2982218718
1254	0.2981500874
1255	0.2980428343
1256	0.2979581062
1257	0.2978567147
1258	0.2977645226
1259	0.2977411109
1260	0.2976744733
1261	0.2975176898
1262	0.2974240876
1263	0.2972967087
1264	0.2972586714
1265	0.2971490033
1266	0.297111259
1267	0.2970520362
1268	0.2970092384
1269	0.2969392521
1270	0.2968626011
1271	0.296822014
1272	0.2967186223
1273	0.2966373788
1274	0.2965514781
1275	0.2964686302
1276	0.2964193305
1277	0.2963128986
1278	0.2962683927
1279	0.2962049179
1280	0.2961163658
1281	0.2960651543
1282	0.2959632424
1283	0.2959091865
1284	0.2958658849
1285	0.2957868864
1286	0.2957205075
1287	0.2956072899
1288	0.2955188572
1289	0.295445014
1290	0.295346058
1291	0.2953008689
1292	0.2952204697
1293	0.2951125551
1294	0.2950543107
1295	0.2949866446
1296	0.2949313991
1297	0.2948589167
1298	0.2947743186
1299	0.2947198502
1300	0.2946510426
1301	0.2945900102
1302	0.2945377658
1303	0.294424115
1304	0.2944129819
1305	0.2943245529
1306	0.2942912574
1307	0.294244406
1308	0.2942007662
1309	0.2941267581
1310	0.2940108997
1311	0.2939687191
1312	0.2938248834
1313	0.29376829
1314	0.2937162044
1315	0.2936448121
1316	0.2935562993
1317	0.2934784761
1318	0.2934329376
1319	0.2933936303
1320	0.2933544674
1321	0.2933314191
1322	0.2932556153
1323	0.2932009572
1324	0.2931355238
1325	0.2930254473
1326	0.2929286533
1327	0.2928716062
1328	0.292822626
1329	0.2927407255
1330	0.2926753591
1331	0.2926055727
1332	0.2925338068
1333	0.2924703481
1334	0.2924341585
1335	0.2923622948
1336	0.2923169907
1337	0.2922739936
1338	0.2922161342
1339	0.2921440798
1340	0.2920746141
1341	0.292014514
1342	0.2919512056
1343	0.2918544443
1344	0.2917790705
1345	0.2916911913
1346	0.2916474977
1347	0.2916038433
1348	0.2915458548
1349	0.2914844045
1350	0.2914420115
1351	0.2913712982
1352	0.2912911251
1353	0.2912267987
1354	0.2911707931
1355	0.2911209912
1356	0.2911098742
1357	0.2910322995
1358	0.2909219857
1359	0.2908273209
1360	0.2907561091
1361	0.2906850879
1362	0.2905813473
1363	0.2904989565
1364	0.2904248198
1365	0.2903837372
1366	0.2903158347
1367	0.29025242
1368	0.2901649833
1369	0.2899961634
1370	0.2899303907
1371	0.2898574932
1372	0.2897963445
1373	0.2897452862
1374	0.2897123262
1375	0.2896479616
1376	0.2895606935
1377	0.2894864748
1378	0.2894495504
1379	0.2893434229
1380	0.2892258471
1381	0.2891567582
1382	0.2890633778
1383	0.2890124362
1384	0.2889162146
1385	0.2888844593
1386	0.2888177879
1387	0.2887750471
1388	0.2887263783
1389	0.2886989816
1390	0.2886340716
1391	0.2885638084
1392	0.2884783651
1393	0.2884221611
1394	0.2883861176
1395	0.2883370349
1396	0.2882842369
1397	0.2882068595
1398	0.2881712403
1399	0.2881105786
1400	0.2880504345
1401	0.2880091444
1402	0.2878347968
1403	0.287775938
1404	0.287700328
1405	0.2876605645
1406	0.2875685953
1407	0.2875146224
1408	0.2874141266
1409	0.2873542314
1410	0.2872416549
1411	0.2871501338
1412	0.2870955917
1413	0.2870338678
1414	0.2869543391
1415	0.2868833019
1416	0.2867895971
1417	0.2867284732
1418	0.2866588222
1419	0.2865963095
1420	0.2865499925
1421	0.286501529
1422	0.2864548142
1423	0.286368548
1424	0.2862698417
1425	0.2862101586
1426	0.2861386213
1427	0.2860615786
1428	0.2859959918
1429	0.285929545
1430	0.2858410128
1431	0.285777084
1432	0.2857191817
1433	0.2856174122
1434	0.2855607432
1435	0.2855151849
1436	0.2854254663
1437	0.2853764478
1438	0.2852826915
1439	0.2852059549
1440	0.2851594993
1441	0.2850885876
1442	0.2850420967
1443	0.2849969768
1444	0.2848295674
1445	0.2847303962
1446	0.284686659
1447	0.2846162838
1448	0.2845752642
1449	0.2844621011
1450	0.2844197555
1451	0.2843625074
1452	0.2843018359
1453	0.2841943361
1454	0.2841274739
1455	0.2840692674
1456	0.2839983173
1457	0.2839107335
1458	0.2838555859
1459	0.283767448
1460	0.2837009953
1461	0.2835876854
1462	0.2835710562
1463	0.2835046957
1464	0.2834258629
1465	0.2833772888
1466	0.2833224978
1467	0.2832665701
1468	0.2831994485
1469	0.2831272481
1470	0.2830833397
1471	0.2830052171
1472	0.2829423749
1473	0.2828842692
1474	0.2828272733
1475	0.2827187174
1476	0.2826904234
1477	0.2826350406
1478	0.2825812751
1479	0.2824946356
1480	0.2824348947
1481	0.2824073179
1482	0.2823632406
1483	0.2822956498
1484	0.282197924
1485	0.2821518254
1486	0.2820797088
1487	0.282066634
1488	0.2820289075
1489	0.2819645771
1490	0.281899709
1491	0.2818197944
1492	0.2817621029
1493	0.2816699446
1494	0.2815870541
1495	0.2815051565
1496	0.281447444
1497	0.2813570441
1498	0.2812805401
1499	0.2812473215
